"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"23312594",9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"23646827",6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"24024553",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24568872",11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"12743223",4,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
"15341910",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"27056292",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8689400",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9683595",8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"27287710",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16698924",0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"16709250",6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"2300173",5,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"8522947",2,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"28994820",2,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0
"29488136",1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"24189344",9,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"25155876",2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"24267886",8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"25621899",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25961944",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17486107",4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"18711365",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19088739",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20185149",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21893642",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21926974",13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"22865819",10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"23390136",7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"23934111",8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"24821222",2,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"25374361",1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"26055424",5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"26892727",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27956739",4,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"28344757",9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"28472652",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28687526",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"30046097",1,0,0,0,1,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0
"15184363",4,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0
"17286281",3,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"18252227",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18377363",0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0
"18840648",1,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,5,0,0,0
"19920853",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21654729",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21782149",9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"25125236",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25167861",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25284784",5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"25424714",8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"25473036",10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25556659",6,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"25574603",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25652421",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27435318",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"27605097",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27667800",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27900361",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28250421",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28771251",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29100083",6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"17186471",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"17617514",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"18428203",4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"23756445",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10336668",3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
"17989066",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19420255",0,0,0,1,7,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
"20029827",23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
