"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"27605097",0,0,0,0,0,0,13,0,0,0,0,1,0,0,0
"27667800",0,0,0,0,0,0,11,0,0,0,0,1,0,0,0
"27900361",0,0,0,0,0,0,11,0,0,0,0,1,0,0,0
"28250421",0,1,0,0,0,0,6,0,0,0,0,1,0,0,0
"28771251",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"29100083",1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"17186471",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"17617514",0,0,0,0,0,0,9,0,0,0,0,1,0,0,0
"18428203",0,0,0,0,0,0,6,0,0,0,0,3,0,0,0
"23756445",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"10336668",0,0,0,0,0,0,5,0,0,0,0,5,0,0,0
"17989066",0,0,0,0,0,0,9,0,0,0,0,2,0,0,0
"19420255",0,0,1,0,0,1,2,0,0,0,0,6,0,0,0
"20029827",0,0,0,0,0,0,29,0,0,0,0,1,0,0,0
"24853428",0,0,0,0,0,1,8,0,0,0,0,4,0,0,0
"29754769",0,0,1,0,0,0,11,0,0,0,0,0,0,0,0
"16407829",0,0,0,0,0,8,6,0,0,0,2,5,0,0,0
"17221838",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"19450512",0,1,0,0,0,0,1,0,0,0,0,6,0,0,0
"19525225",0,0,0,0,0,1,3,0,0,0,2,6,0,1,0
"20720115",0,0,0,0,0,0,2,0,0,0,0,8,0,0,0
"24934177",0,0,0,0,0,0,2,0,0,0,0,10,0,0,0
"25036633",0,0,0,0,0,0,8,0,0,0,0,7,0,0,1
"8071957",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"9065402",0,1,0,0,0,1,4,0,0,0,1,6,0,0,2
"16948926",0,0,0,0,0,0,2,0,0,0,0,3,0,0,0
"21731612",0,0,0,0,0,0,2,0,0,0,0,6,0,0,0
